COMP_SELLER_ID,SELLER DOMAIN,SELLER NAME,CITY,STATE,ZIP,ADDRESS,Business Name,COUNTRY
A28QMGGYV8BT1P,https://www.amazon.com/sp?_encoding=UTF8&asin=&isAmazonFulfilled=&isCBA=&marketplaceID=ATVPDKIKX0DER&orderID=&protocol=current&seller=A28QMGGYV8BT1P&sshmPath=,1PerfectChoice Inc.,Walnut,CA,91789,21908 Valley Valley,1PerfectChoice Inc,USA
A31ZJYFFBZJHQC,https://www.amazon.com/sp?_encoding=UTF8&asin=&isAmazonFulfilled=&isCBA=&marketplaceID=ATVPDKIKX0DER&orderID=&protocol=current&seller=A31ZJYFFBZJHQC&sshmPath=,A Palace,Carnford,NJ,07016,140 bryant ave,i&j digital inc,USA
A10HLORM3B3SKO,https://www.amazon.com/sp?_encoding=UTF8&asin=&isAmazonFulfilled=&isCBA=&marketplaceID=ATVPDKIKX0DER&orderID=&protocol=current&seller=A10HLORM3B3SKO&sshmPath=,A1SUPPLY,Brooklyn,NY,11223,344 Ave U #230229,AJSRE NY INC,USA
A1SXIFUPRRVRBG,https://www.amazon.com/sp?_encoding=UTF8&asin=&isAmazonFulfilled=&isCBA=&marketplaceID=ATVPDKIKX0DER&orderID=&protocol=current&seller=A1SXIFUPRRVRBG&sshmPath=,Acevio U.S,Vacaville,CA,95687,137 Asbury Dr,ECOVISIONFTR LLC,USA
A2SXPK48ICRCFT,https://www.amazon.com/sp?_encoding=UTF8&asin=&isAmazonFulfilled=&isCBA=&marketplaceID=ATVPDKIKX0DER&orderID=&protocol=current&seller=A2SXPK48ICRCFT&sshmPath=,Advanced Furniture,City of Industry,CA,91748,719 S Nogales St,FAIRWAY FURNITURE LLC,USA
A2SRQYE0E998VL,https://www.amazon.com/sp?_encoding=UTF8&asin=&isAmazonFulfilled=&isCBA=&marketplaceID=ATVPDKIKX0DER&orderID=&protocol=current&seller=A2SRQYE0E998VL&sshmPath=,Aetna Stores,Los Angeles,CA,90038,708 N Manhattan Pl,"Aetna Furniture, Inc.",USA
ALAQHED7P69VI,https://www.amazon.com/sp?_encoding=UTF8&asin=&isAmazonFulfilled=&isCBA=&marketplaceID=ATVPDKIKX0DER&orderID=&protocol=current&seller=ALAQHED7P69VI&sshmPath=,All Access Shop,Cheyenne,WY,82001,1603 Capitol Ave. Suite 314,C&amp; M Trade Inc.,USA
A12VI0UHM6P0R0,https://www.amazon.com/sp?_encoding=UTF8&asin=&isAmazonFulfilled=&isCBA=&marketplaceID=ATVPDKIKX0DER&orderID=&protocol=current&seller=A12VI0UHM6P0R0&sshmPath=,ALL TOOLS SUPPLY,Prescott,WI,54021,N5898 1115TH ST,AES ECOM LLC,USA
ATYWAHFUXF3Z1,https://www.amazon.com/sp?_encoding=UTF8&asin=&isAmazonFulfilled=&isCBA=&marketplaceID=ATVPDKIKX0DER&orderID=&protocol=current&seller=ATYWAHFUXF3Z1&sshmPath=,Alliance(Supply),Tampa,FL,33634,"7028 West Waters Ave, Suite: 345","Alliance Groups International, LLC",USA
ADG9Y6APUFWLB,https://www.amazon.com/sp?_encoding=UTF8&asin=&isAmazonFulfilled=&isCBA=&marketplaceID=ATVPDKIKX0DER&orderID=&protocol=current&seller=ADG9Y6APUFWLB&sshmPath=,Alma Lazer,Seattle,WA,98122-6852,"1305 e fir st, ste 101",Armara Josephine Nhep,USA
