SKU,ITEM_ID,TITLE,LISTING_TYPE,FEATURED,MEMO,MARKETPLACE_ID,COST,CURRENCY,CURRENT_VELOCITY,TARGET_VELOCITY,CALC_TARGET_VELOCITY,STOCK,MIN_PRICE,CALC_MIN_PRICE,MAX_PRICE,CALC_MAX_PRICE,CURRENT_PRICE,VAT,CURRENT_SHIPPING,CURRENT_FEES,MANUAL_PRICE,ORIGINAL_PRICE,MAP_PRICE,STRATEGY_ID,BUYBOX_PRICE,BUYBOX_SELLER,BUYBOX_WINNER,YOUR_SELLER_ID,COMP_PRICE,COMP_SELLER_ID,COMP_LISTING_TYPE,MANAGED,SALES_RANK,SALES_RANK_CATEGORY,DATE_ADDED,VAT_PERCENTAGE,STOCK_COST_VALUE,DAYS_SINCE_BUYBOX,DATE_OF_LAST_SALE
1000025-ground,'B09XWTF5D1,Whitehall Fast & Easy Collection FEA1OG Arch House Numbers Plaque with Cut-Out Shape 12.0 x 7.25 Bronze/Gold,Amazon MFN,FALSE,,10148,31.86,USD,0,,3,1,46.99,,65.79,,46.99,,0,7.05,46.99,52.99,46.99,51099,0,,None,A38F1REGZFNN6L,0,,Unknown,TRUE,768201,lawn_and_garden_display_on_website,5/9/2022 16:30,,31.86,8,7/30/2022 14:04
1000029-ground,'B00NPW3KQG,Whitehall Fast & Easy Rectangle Numbers Plaque,Amazon MFN,TRUE,,10148,31.86,USD,0,,2,4,46.99,,65.79,,46.99,,0,7.05,46.99,49.99,46.99,51099,,,None,A38F1REGZFNN6L,0,,Unknown,TRUE,740343,lawn_and_garden_display_on_website,5/13/2022 12:57,,127.44,,
1000032-ground,'B01MRYMSKT,Whitehall Fast & Easy Rectangle Numbers Plaque,Amazon MFN,TRUE,,10148,31.86,USD,0,,2,4,46.99,,65.79,,46.99,,0,7.05,46.99,49.99,46.99,51099,,,None,A38F1REGZFNN6L,0,,Unknown,TRUE,840836,lawn_and_garden_display_on_website,5/13/2022 12:58,,127.44,26,8/3/2022 17:10
1000033-ground,'B00P6NC54A,"Whitehall Fast & Easy Oval House Numbers Plaque, Black / Gold",Amazon MFN,TRUE,,10148,31.86,USD,0,,6,4,46.99,,65.79,,46.99,,0,7.05,46.99,52.99,46.99,50941,,,None,A38F1REGZFNN6L,0,,Unknown,TRUE,1052862,home_improvement_display_on_website,5/13/2022 16:08,,127.44,27,
100013-ground,'B000A7QJKI,"Broan-NuTone F403004 30-inch Under-Cabinet 4-Way Convertible Range Hood with 2-Speed Exhaust Fan and Light, Stainless Steel",Amazon MFN,TRUE,tisham 4-18-2022,10148,102.08,USD,0,0,6,5,139,,194.6,,139,,0,20.85,139,97.5,139,51086,110,A2R2RITDJNW1Q6,No,A38F1REGZFNN6L,110,A2R2RITDJNW1Q6,FulfilledByMarketplace,TRUE,1234,13397451,8/17/2021 22:52,,510.4,7,7/20/2022 1:10
1000150-temp,'B00CRERGE0,"Salton Cordless Electric Crepe Maker With Bonus Batter Dish and Spatula with Non-Stick Cooking Surface, Automatic Temperature Control for 7.5"" Crepes and Tortillas, Recipes Included, White (CM1337)",Amazon MFN,FALSE,,10148,,USD,,,,2,,,,,73.48,,0,0,,73.48,,,59.23,A1C9KMZOAZ6RIY,No,A38F1REGZFNN6L,39.99,A1A6I3UI2RN13G,FulfilledByMarketplace,TRUE,281487,kitchen_display_on_website,10/17/2022 19:51,,,,
1005734-temp,'B07PGL5LM1,"Summerset Professional Grills SSRFR-24D Refrigeration, 24"", Ss",Amazon MFN,TRUE,,10148,,USD,,,,1,,,,,2270,,0,340.5,,2270,,0,2249.98,A3K90JHFOGRITA,No,A38F1REGZFNN6L,2247,AF7QIVCSEWB6X,MFN,TRUE,984707,lawn_and_garden_display_on_website,10/17/2022 19:51,,,,
1006181-temp,'B09W91HPMN,Bertazzoni KC48HERTAV Bertazzoni KC48HERT 48 Inch Wide 600 CFM Wall Mounted Range Hood with LED Lighting,Amazon MFN,FALSE,,10148,,USD,,,,1,,,,,1669,,,154.52,,1669,,0,,,None,A38F1REGZFNN6L,,,,TRUE,,,10/17/2022 19:50,,,,
1010191-east,'B07N34HVCM,"Acme Furniture Chair, Velvet & Antique Silver",Amazon MFN,TRUE,tisham 4-18-2022,10148,1523.38,USD,0,0,,1,1523.38,,2132.73,,1523.38,,0,137.23,1523.38,1275.59,,50941,1275.29,A2R2RITDJNW1Q6,No,A38F1REGZFNN6L,1275.29,A2R2RITDJNW1Q6,FulfilledByMarketplace,TRUE,7771107,home_garden_display_on_website,9/22/2020 13:56,,1523.38,9,
1010191-green,'B07N34HVCM,"Acme Furniture Chair, Velvet & Antique Silver",Amazon MFN,TRUE,tisham 4-18-2022,10148,1523.38,USD,0,0,,1,1523.38,,2132.73,,1523.38,,0,137.23,1523.38,1275.59,,51099,1275.29,A2R2RITDJNW1Q6,No,A38F1REGZFNN6L,1275.29,A2R2RITDJNW1Q6,FulfilledByMarketplace,TRUE,7771107,home_garden_display_on_website,9/22/2020 13:56,,1523.38,9,
