Category ID,Parent ID,Category Name,Category Path,MAIN CATEGORY
1166,790,1 Year,Service Contracts > Television > 1 Year,
791,790,2 Year,Service Contracts > Television > 2 Year,
814,806,22 in. to 36 in. Mounts,Televisions > Mounts & Stands > Mounts > 22 in. to 36 in. Mounts,
548,0,Appliances,Appliances,
549,548,Air Conditioners,Appliances > Air Conditioners,SMALL APPLIANCE
658,20,2-Way Radio,Electronics > 2-Way Radio,
792,790,3 Year,Service Contracts > Television > 3 Year,
810,807,31 in. and Under TV Stands,Televisions > Mounts & Stands > Stands > 31 in. and Under TV Stands,
811,807,32 in. to 41 in. TV Stands,Televisions > Mounts & Stands > Stands > 32 in. to 41 in. TV Stands,
23,1086,35mm Systems,Photography > Cameras & Accessories > Point and Shoot Cameras > 35mm Systems,
815,806,37 in. and Up Mounts,Televisions > Mounts & Stands > Mounts > 37 in. and Up Mounts,
2006,541,3D Printer Accessories,Computers > Printers > 3D Printer Accessories,
2005,541,3D Printers and Scanners,Computers > Printers > 3D Printers and Scanners,
1327,582,3D Starter Kits,Televisions > 3D Starter Kits,
812,807,42 in. to 51 in. TV Stands,Televisions > Mounts & Stands > Stands > 42 in. to 51 in. TV Stands,
793,790,5 Year,Service Contracts > Television > 5 Year,
581,549,Air Conditioner Accessories,Appliances > Air Conditioners > Air Conditioner Accessories,
813,807,52 in. and Up TV Stands,Televisions > Mounts & Stands > Stands > 52 in. and Up TV Stands,
1644,549,Air Conditioner Filters,Appliances > Air Conditioners > Air Conditioner Filters,
1513,549,Air Conditioner Hardware,Appliances > Air Conditioners > Air Conditioner Hardware,
1131,549,Casement Air Conditioners,Appliances > Air Conditioners > Casement Air Conditioners,
115,37,A/V Receivers,Home Theater > Audio Components > A/V Receivers,
830,807,A/V Stands,Televisions > Mounts & Stands > Stands > A/V Stands,
1044,41,A/V Switchers/Selectors,Home Theater > Home Theater Accessories > A/V Switchers/Selectors,
1680,1682,Ab Exercisers,Health and Fitness Equipment > Strength Training > Ab Exercisers,
195,84,AC Power Adapters & Chargers,Consumer Video > Camcorders & Accessories > Camcorder Accessories > AC Power Adapters & Chargers,
389,386,AC Power Adapters & Chargers,Consumer Video > Camcorders & Accessories > Camcorder Accessories > Consumer Video Accessories > AC Power Adapters & Chargers,
189,184,AC Power Adapters & Chargers,Deleted Category (184) > AC Power Adapters & Chargers,
69,26,AC/DC Adapters & Chargers,Photography > Power Supplies > AC/DC Adapters & Chargers,
1465,1294,Accent Chairs,Home Furnishing > Chairs > Accent Chairs,
1441,1274,Accent Tables,Home Furnishing > Tables > Accent Tables,
1546,632,Access Doors,Outdoor Living > Grill Accessories > Access Doors,
420,416,Accessories,Computers > Accessories,
2583,2582,Accessories,Outdoor Living > Sporting Goods > Tennis Equipment > Accessories,
252,233,Accessories,Photography > Cameras & Accessories > Point and Shoot Cameras > 35mm Systems > Point & Shoot Cameras > Accessories,
47,18,Accessories,Professional Audio > Accessories,
346,141,Accessories,Professional Audio > Microphones > Wireless Microphone Systems > Accessories,
505,19,Accessories,Satellite Systems > Accessories,
623,582,Accessories,Televisions > Accessories,
2697,2686,Accessories and Components,Hardware > Commercial Door Hardware > Accessories and Components,
394,151,Accessories for Binoculars,Satellite Systems > Binoculars & Accessories > Accessories for Binoculars,
401,32,Accessories for DVD Players,Consumer Video > DVDs & Accessories > Accessories for DVD Players,
175,73,Accessories for Dye Sub,Photography > Printers & Accessories > Dye Sublimation > Accessories for Dye Sub,
169,72,Accessories for Inkjet Printers,Photography > Printers & Accessories > Inkjet > Accessories for Inkjet Printers,
993,20,Accessories For MP3 Players,Electronics > Accessories For MP3 Players,
405,543,Accessories For PDA's,Computers > Handhelds & PDAs > Accessories For PDA's,
77,28,Accessories for Scanners,Photography > Scanners & Accessories > Accessories for Scanners,
97,0,Accessories for Televisions,Accessories for Televisions,
347,346,Accessories for Wireless Microphones,Professional Audio > Microphones > Wireless Microphone Systems > Accessories > Accessories for Wireless Microphones,
351,24,Accessory Kits,Photography > Cameras & Accessories > Accessory Kits,
199,62,Accessory Lenses & Kits,Deleted Category (62) > Accessory Lenses & Kits,
2617,549,Commercial Air Conditioner Accessories,Appliances > Air Conditioners > Commercial Air Conditioner Accessories,
2616,549,Commercial Air Conditioners,Appliances > Air Conditioners > Commercial Air Conditioners,
580,549,Extended Service Plans,Appliances > Air Conditioners > Extended Service Plans,
1599,549,Grille Assembly,Appliances > Air Conditioners > Grille Assembly,
1598,549,Insulating Tubing Kit,Appliances > Air Conditioners > Insulating Tubing Kit,
2393,549,Line Sets,Appliances > Air Conditioners > Line Sets,
1133,549,Mini Split Air Conditioners,Appliances > Air Conditioners > Mini Split Air Conditioners,
1521,1133,Mini Split Air Conditioner Systems,Appliances > Air Conditioners > Mini Split Air Conditioners > Mini Split Air Conditioner Systems,LARGE APPLIANCE
2392,1521,5-Zone Mini Split Air Conditioners,Appliances > Air Conditioners > Mini Split Air Conditioners > Mini Split Air Conditioner Systems > 5-Zone Mini Split Air Conditioners,LARGE APPLIANCE
2390,1521,8-Zone Mini Split Air Conditioners,Appliances > Air Conditioners > Mini Split Air Conditioners > Mini Split Air Conditioner Systems > 8-Zone Mini Split Air Conditioners,LARGE APPLIANCE
2387,1521,Dual-Zone Mini Split Air Conditioners,Appliances > Air Conditioners > Mini Split Air Conditioners > Mini Split Air Conditioner Systems > Dual-Zone Mini Split Air Conditioners,LARGE APPLIANCE
2389,1521,Quad-Zone Mini Split Air Conditioners,Appliances > Air Conditioners > Mini Split Air Conditioners > Mini Split Air Conditioner Systems > Quad-Zone Mini Split Air Conditioners,LARGE APPLIANCE
1478,1477,Activity Gyms,Toys and Games > Baby Toys > Activity Gyms,
2045,1274,Activity Tables,Home Furnishing > Tables > Activity Tables,
2358,2344,Activity Trackers,Health and Fitness Equipment > Recovery and Support > Activity Trackers,
200,24,Adaptors & Filters,Photography > Cameras & Accessories > Adaptors & Filters,
1205,416,Add-on Cards,Computers > Add-on Cards,
2525,2297,Address Plaques,Home Furnishing > Home Decor > Address Plaques,
1458,1332,Adirondack Chairs,Outdoor Living > Patio and Lawn Furniture > Adirondack Chairs,
